Control,Power
0,0.000159
1,0.000173
2,0.00305
3,0.005409
4,0.008306
5,0.010879
6,0.013776
7,0.016075
8,0.019079
9,0.023339
10,0.026237
11,0.028549
12,0.031457
13,0.034082
14,0.036971
15,0.039254
16,0.042206
17,0.044894
18,0.047825
19,0.050179
20,0.053039
21,0.055678
22,0.058613
23,0.060878
24,0.063798
25,0.068086
26,0.070988
27,0.073354
28,0.076249
29,0.078806
30,0.081833
31,0.084146
32,0.087153
33,0.087532
34,0.090468
35,0.092839
36,0.09572
37,0.098257
38,0.101253
39,0.103739
40,0.106507
41,0.110685
42,0.113788
43,0.116051
44,0.118969
45,0.121534
46,0.124492
47,0.126792
48,0.129714
49,0.132313
50,0.135279
51,0.137597
52,0.140632
53,0.143129
54,0.145976
55,0.14842
56,0.151338
57,0.155589
58,0.158353
59,0.160742
60,0.16377
61,0.166258
62,0.169257
63,0.17151
64,0.174472
65,0.173381
66,0.176309
67,0.178705
68,0.181661
69,0.184157
70,0.187108
71,0.189482
72,0.192377
73,0.19668
74,0.199556
75,0.201918
76,0.204903
77,0.207403
78,0.210326
79,0.212645
80,0.215546
81,0.218275
82,0.221216
83,0.223515
84,0.226491
85,0.229107
86,0.231978
87,0.234351
88,0.23733
89,0.241579
90,0.244531
91,0.246732
92,0.249708
93,0.252308
94,0.255207
95,0.257522
96,0.260448
97,0.260984
98,0.263929
99,0.266189
100,0.269078
101,0.271646
102,0.274701
103,0.277031
104,0.27982
105,0.284055
106,0.287059
107,0.289407
108,0.2922
109,0.294897
110,0.297752
111,0.300213
112,0.303066
113,0.306729
114,0.308688
115,0.311068
116,0.313932
117,0.316423
118,0.319397
119,0.321843
120,0.324683
121,0.328921
122,0.331828
123,0.334247
124,0.337139
125,0.339645
126,0.342509
127,0.345066
128,0.347981
129,0.345911
130,0.348745
131,0.351049
132,0.35412
133,0.356731
134,0.359613
135,0.361872
136,0.364852
137,0.369001
138,0.371952
139,0.374348
140,0.377273
141,0.379775
142,0.382706
143,0.385103
144,0.388066
145,0.390725
146,0.393707
147,0.395892
148,0.398959
149,0.401524
150,0.404243
151,0.406709
152,0.409523
153,0.413869
154,0.416725
155,0.419178
156,0.422025
157,0.424536
158,0.427588
159,0.429854
160,0.432955
161,0.433311
162,0.436266
163,0.438674
164,0.44152
165,0.444049
166,0.447038
167,0.44935
168,0.452258
169,0.456519
170,0.459495
171,0.46178
172,0.464827
173,0.467237
174,0.47032
175,0.47267
176,0.475533
177,0.478134
178,0.481195
179,0.483923
180,0.486336
181,0.489005
182,0.491932
183,0.494352
184,0.497286
185,0.501403
186,0.504425
187,0.5067
188,0.509671
189,0.512135
190,0.515045
191,0.517528
192,0.520455
193,0.519263
194,0.522227
195,0.524685
196,0.527543
197,0.530089
198,0.532949
199,0.53534
200,0.538322
201,0.542652
202,0.545547
203,0.547767
204,0.550891
205,0.553469
206,0.556335
207,0.558754
208,0.56169
209,0.56431
210,0.569095
211,0.569568
212,0.572531
213,0.57496
214,0.57794
215,0.580353
216,0.583224
217,0.587488
218,0.590403
219,0.592804
220,0.595759
221,0.598415
222,0.601175
223,0.603726
224,0.606492
225,0.607021
226,0.610012
227,0.612202
228,0.61521
229,0.61767
230,0.620612
231,0.623067
232,0.626063
233,0.630274
234,0.63329
235,0.635521
236,0.638327
237,0.640974
238,0.643914
239,0.646389
240,0.649047
241,0.652095
242,0.654922
243,0.657258
244,0.66022
245,0.662741
246,0.665569
247,0.668006
248,0.670961
249,0.675104
250,0.678229
251,0.680451
252,0.6836
253,0.686489
254,0.689031
255,0.692335
